State/UT,Year,Population(Total),Literacy_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Tot_crimes_SC,Total crime against women,Total crimes against STs,Total crime against children,Overall Crimes,Crime Rate
UTTARAKHAND,2003,8797714,72.91,53483,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,7923,0,14964,5,23,17492,90.05748539
WEST BENGAL,2003,82274326,70.15,88752,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,61174,0,982,3,148,136865,74.35369328
A & N ISLANDS,2004,363610,82.5,8249,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,748,0,11794,1,14,1612,205.7149143
ANDHRA PRADESH,2004,78752701,62.2,275045,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,158756,0,36,566,1328,343632,201.5880065
ARUNACHAL PRADESH,2004,1175482,57.3,83743,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,2256,0,19006,75,22,5007,191.9212714
ASSAM,2004,27955573,65.6,78438,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,40675,20,168,12,21,90293,145.4987168
BIHAR,2004,88858132,50.9,94163,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,108060,2646,6741,59,59,232036,121.6095787
CHANDIGARH,2004,944558,83.1,114,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,2889,0,5818,0,66,7310,305.8573428
CHHATTISGARH,2004,22174085,66.25,135191,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,41927,698,221,676,940,90051,189.0810827
D & N HAVELI,2004,251612,62.77,491,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,0,3735,4,11,890,162.5518656
DAMAN & DIU,2004,180016,80.76,112,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,0,32,1,2,890,227.2020265
DELHI,2004,14655077,83.01,16579,481,519,80,551,0,551,1209,881,328,30,135,461,1875,18994,8873,10121,67,445,2322,44,38,1780,126,601,130,1254,0,433,22048,53623,4,8,0,766,128000,365.9004999
GOA,2004,1380268,83.24,3702,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,2127,0,4416,0,53,4807,154.100508
GUJARAT,2004,53456796,74.44,196024,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469,1309,70,241,799,230961,197.2976457
HARYANA,2004,22307031,70.79,44212,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,39096,303,7200,0,164,85559,175.2631267
HIMACHAL PRADESH,2004,6299337,76.18,55673,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,12326,88,4525,11,92,25571,195.6713857
JAMMU & KASHMIR,2004,10828018,62.44,222236,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,21191,1,790,1,35,45274,195.7052528
JHARKHAND,2004,28595126,57.33,79714,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439,126,2425,123,112,68517,109.9453103
KARNATAKA,2004,55264687,66.15,191791,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,114440,1643,2621,173,189,245856,207.0761751
KERALA,2004,32321384,91.58,38863,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,104025,438,4822,82,341,214002,321.8457477
LAKSHADWEEP,2004,61745,88.87,32,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,70,0,7301,0,0,145,113.3695036
MADHYA PRADESH,2004,63853628,71.06,308245,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,196867,4699,1,1667,3653,420027,308.3098113
MAHARASHTRA,2004,101303881,78.45,307713,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,176302,715,14275,231,2281,398989,174.0328191
MANIPUR,2004,2279180,72.54,22327,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,2535,0,14010,0,31,5473,111.2242122
MEGHALAYA,2004,2497114,65.79,22429,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,1752,0,171,0,0,4030,70.16099385
MIZORAM,2004,945734,89.55,21081,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,1515,0,175,0,0,3675,160.1930353
NAGALAND,2004,1984069,69,1483,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,984,0,26,0,1,2264,49.59504937
ODISHA,2004,38258781,66.04,155707,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,48739,1398,33,602,129,104741,127.3929768
PUDUCHERRY,2004,1049260,82.57,479,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,4620,23,5773,0,12,9888,440.3103139
PUNJAB,2004,25321400,71.43,50362,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,25630,134,105,0,193,54700,101.218732
RAJASTHAN,2004,59965877,62.1,342239,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,154859,596161,1906,863,403,331982,258.2452017
SIKKIM,2004,560554,70.84,7096,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,631,16,11431,22,8,1343,112.5672103
TAMIL NADU,2004,65256265,75.44,130058,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,166606,1156,62,13,393,352230,255.3103522
TRIPURA,2004,3335456,75.17,10486,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,3081,1,5648,12,59,6681,92.37117803
UTTAR PRADESH,2004,175852332,59.35,240928,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,130181,3785,840,6,1921,287620,74.02858894
UTTARAKHAND,2004,8956072,73.56,53483,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,8634,137,14258,1,57,19193,96.40386991
WEST BENGAL,2004,83343891,70.92,88752,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,69350,14,782,12,206,155840,83.20945803
A & N ISLANDS,2005,366118,82.9,8249,14,3,3,4,0,4,2,1,1,0,0,4,68,92,6,86,4,8,13,0,6,79,0,11,1,5,0,3,362,682,0,12690,17,8,1462,186.2787407
ANDHRA PRADESH,2005,79618978,62.8,275045,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,157123,3117,54,793,950,340571,197.3436534
ARUNACHAL PRADESH,2005,1202518,58.3,83743,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2304,2,22304,27,22,5232,191.5979636
ASSAM,2005,28402862,66.4,78438,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006,282,185,244,199,93370,147.8935468
BIHAR,2005,90901869,52.3,94163,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850,1824,6807,115,115,210352,107.6435513
CHANDIGARH,2005,959670,83.5,114,18,15,4,33,0,33,54,45,9,0,2,12,223,1373,579,794,43,41,161,0,1,57,3,31,9,75,0,9,969,3133,0,6543,0,57,7726,326.4663895
CHHATTISGARH,2005,22639740,65.78,135191,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633,454,224,583,997,94102,192.7274783
D & N HAVELI,2005,262934,64.59,491,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,2,3747,1,5,960,165.0604334
DAMAN & DIU,2005,187936,81.64,112,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,2,16,0,5,960,230.9296782
DELHI,2005,14933522,83.47,16579,455,467,64,658,0,658,1590,1106,484,27,157,510,2093,17955,8862,9093,61,394,2378,36,47,1814,114,762,225,1324,1,634,24299,56065,21,6,0,1026,132333,375.4305247
GOA,2005,1381309,83.65,3702,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2119,2,4725,0,53,4770,153.405212
GUJARAT,2005,54419016,76.3,196024,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414,1307,70,164,836,246280,208.4087665
HARYANA,2005,22708557,71.78,44212,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,42664,380,8216,0,374,94975,187.8763146
HIMACHAL PRADESH,2005,6374928,76.08,55673,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,12345,101,4549,17,131,25645,193.6492459
JAMMU & KASHMIR,2005,11066234,64.93,222236,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,20115,1,1014,0,57,43080,181.7691547
JHARKHAND,2005,29167028,58.64,79714,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,35175,277,2519,332,97,77919,120.598506
KARNATAKA,2005,56093656,66.18,191791,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,117580,1780,2850,214,191,253100,209.6137217
KERALA,2005,32482990,92.3,38863,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,104350,345,5440,75,386,214858,321.2450578
LAKSHADWEEP,2005,62114,89.62,32,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,7,6,0,0,0,0,4,0,0,0,0,0,0,22,42,0,7601,0,0,91,67.61760634
MADHYA PRADESH,2005,65066846,73.68,308245,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,189172,4356,5,1498,3721,402797,290.7348544
MAHARASHTRA,2005,102823439,78.99,307713,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,187027,865,15299,267,2305,423644,181.8914071
MANIPUR,2005,2317925,73.23,22327,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,2913,0,14555,26,20,6200,125.6727461
MEGHALAYA,2005,2559541,66.9,22429,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,1880,0,188,0,81,4347,73.45066948
MIZORAM,2005,965593,89.8,21081,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,2156,0,171,0,74,5139,223.2824803
NAGALAND,2005,1982084,70.24,1483,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,1049,0,33,0,0,2435,52.92409403
ODISHA,2005,38756144,67.06,155707,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,51685,1439,34,349,86,111553,133.3595004
PUDUCHERRY,2005,1075491,83.02,479,19,24,8,6,0,6,6,3,3,1,0,5,67,466,235,231,159,8,41,0,9,857,4,60,26,6,0,224,2579,4575,14,5387,0,8,9628,425.3871023
PUNJAB,2005,25650577,72.03,50362,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,27136,140,139,0,210,58072,105.7909925
RAJASTHAN,2005,61165193,62.67,342239,1221,1920,59,993,0,993,1993,1549,444,41,79,590,5227,17898,6723,11175,2290,613,8341,88,648,22606,361,2503,28,5997,0,5872,61549,140917,542551,2167,967,580,302718,230.387567
SIKKIM,2005,567280,72.24,7096,8,16,2,18,0,18,3,2,1,2,0,4,85,81,5,76,19,4,44,2,3,99,0,38,0,4,0,53,67,552,7,12686,0,25,1206,97.30644479
TAMIL NADU,2005,66235108,76.11,130058,1440,1759,28,571,1,570,1029,783,246,73,0,437,3738,15851,3583,12268,2551,239,2694,40,495,31725,215,1764,665,1650,0,8902,86494,162360,1206,47,24,288,342171,245.1267989
TRIPURA,2005,3382151,75.84,10486,121,56,1,162,0,162,85,43,42,22,0,61,170,325,62,263,148,32,59,16,35,429,34,161,1,439,0,188,811,3356,38,4641,9,28,7284,99.22679384
UTTAR PRADESH,2005,179193525,60.42,240928,5711,5637,1520,1217,0,1217,2955,2256,699,286,89,2049,4556,20695,8647,12048,3926,2524,4556,261,398,10379,1564,1835,2881,4505,0,7406,37158,122108,4397,964,11,1801,269083,68.1430872
UTTARAKHAND,2005,9117280,74.22,53483,279,202,30,133,0,133,203,125,78,48,0,159,521,1630,533,1097,433,144,396,22,24,745,63,100,89,272,0,462,2078,8033,99,15677,1,76,18032,88.107418
WEST BENGAL,2005,84427361,71.7,88752,1453,434,408,1686,0,1686,1207,1039,168,211,1221,426,739,12124,2435,9689,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,66406,12,1034,7,236,147829,78.65459635
A & N ISLANDS,2006,368644,83.3,8249,4,4,1,6,0,6,5,5,0,0,0,5,82,101,6,95,10,3,15,4,9,78,0,14,4,7,0,2,322,676,0,16432,1,9,1464,183.3747464
ANDHRA PRADESH,2006,80494788,63.4,275045,2766,1860,123,1049,1,1048,2030,1329,701,178,3,679,8304,23510,5313,18197,2916,1007,8363,324,1012,47946,519,4534,2411,9164,0,11489,43722,173909,3891,80,753,1386,374407,216.0500131
ARUNACHAL PRADESH,2006,1230175,59.3,83743,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,2294,0,21796,32,27,5151,186.4775337
ASSAM,2006,28857307,67.2,78438,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673,282,175,49,252,98235,151.3412184
BIHAR,2006,92992611,53.7,94163,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,100665,2043,8082,66,66,216933,108.2505362
CHANDIGARH,2006,975024,83.9,114,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,3126,2,7335,0,64,7570,320.6074927
CHHATTISGARH,2006,23115174,66.31,135191,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177,444,135,615,1238,96850,195.4430453
D & N HAVELI,2006,274765,66.46,491,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,2,3943,3,15,955,158.3171073
DAMAN & DIU,2006,196204,82.53,112,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,1,25,3,3,955,221.7080182
DELHI,2006,15217258,83.92,16579,476,510,75,623,0,623,1442,1066,376,14,200,541,1950,17498,9366,8132,87,442,2313,42,33,1818,137,718,144,1728,0,367,26805,57963,21,9,0,2160,135489,380.903051
GOA,2006,1392359,84.06,3702,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,2204,4,3859,0,54,4939,158.2925093
GUJARAT,2006,55398557,78.2,196024,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972,995,116,156,977,261901,218.3666986
HARYANA,2006,23117310,72.78,44212,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509,408,8564,0,462,112779,218.4899541
HIMACHAL PRADESH,2006,6451426,75.98,55673,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093,94,5052,2,136,27241,202.9473794
JAMMU & KASHMIR,2006,11309690,67.52,222236,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787,1,976,0,85,44550,183.7981412
JHARKHAND,2006,29750368,59.98,79714,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364,333,2289,268,112,80335,122.2304208
KARNATAKA,2006,56935060,66.21,191791,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,117710,1730,2740,205,276,251284,206.7443154
KERALA,2006,32645404,92.67,38863,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,105255,364,5747,88,553,216836,322.4190456
LAKSHADWEEP,2006,62485,90.38,32,0,2,0,0,0,0,0,0,0,0,0,0,2,17,1,16,12,0,0,0,4,5,0,0,0,1,0,0,37,80,0,7906,1,0,177,128.0307274
MADHYA PRADESH,2006,66303115,76.4,308245,2309,2370,138,2900,0,2900,808,617,191,151,121,1770,10960,21733,7552,14181,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,194711,4214,4,1501,3939,414863,293.6679521
MAHARASHTRA,2006,104365790,79.54,307713,2656,1680,100,1500,1,1499,1261,921,340,663,323,2574,15877,46473,12741,33732,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,191788,1053,14866,239,2841,432810,183.7651974
MANIPUR,2006,2357329,73.93,22327,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,2884,0,15485,1,54,6228,122.3418539
MEGHALAYA,2006,2623529,68.03,22429,157,42,8,74,0,74,57,25,32,57,4,65,140,470,135,335,7,16,83,7,28,138,6,57,0,13,0,68,438,1935,0,211,0,71,4471,73.75561696
MIZORAM,2006,955869,90.06,21081,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,2073,0,205,0,35,4982,216.8707218
NAGALAND,2006,1980101,71.5,1483,123,46,8,23,0,23,31,3,28,16,0,84,70,327,113,214,7,18,37,10,16,50,0,3,2,3,0,28,201,1103,0,34,0,14,2587,55.70422923
ODISHA,2006,39259973,68.09,155707,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,52792,1153,28,,154,113840,134.467744
PUDUCHERRY,2006,1102377,83.47,479,30,24,3,9,0,9,18,13,5,2,0,3,84,560,320,240,194,6,36,2,22,927,3,56,39,19,0,209,2441,4687,14,5804,,25,9961,425.1721507
PUNJAB,2006,25984033,72.64,50362,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,32068,184,163,,329,69115,123.4142521
RAJASTHAN,2006,62388496,63.25,342239,1209,1694,79,1085,0,1085,1970,1553,417,37,97,631,5085,17889,7276,10613,1767,694,10191,56,551,21296,394,2582,31,7038,3,6234,61379,141992,545877,2643,,951,304928,227.5932409
SIKKIM,2006,574086,73.67,7096,21,16,2,20,0,20,8,7,1,0,0,9,84,113,8,105,12,10,37,1,1,96,0,14,0,6,0,39,214,703,2,14046,,35,1547,122.4555206
TAMIL NADU,2006,67228633,76.79,130058,1363,1599,20,457,0,457,906,718,188,95,4,450,3300,13651,2877,10774,1838,194,2116,63,460,14067,187,1179,852,1248,0,10792,94131,148972,991,53,,353,312958,221.5901073
TRIPURA,2006,3429500,76.52,10486,154,52,1,189,0,189,105,62,43,18,1,71,182,392,31,361,154,23,84,12,35,464,35,207,0,471,0,199,1091,3940,14,6219,,41,8566,114.8855518
UTTAR PRADESH,2006,182598201,61.5,240928,5480,4997,1543,1314,0,1314,3318,2551,767,218,86,2024,4577,20447,9621,10826,3774,2509,5142,278,299,10412,1798,2096,2714,5204,0,7235,41536,127001,4960,1067,,1767,279081,69.55216388
UTTARAKHAND,2006,9281390,74.88,53483,274,215,40,147,0,147,212,183,29,31,2,157,470,1696,525,1171,489,95,514,14,39,854,80,153,113,358,0,524,1935,8412,68,20141,,51,18879,90.63297631
